,response,distributions,probable_topic,topic_probability
25,"['school', 'district', 'digital', 'learning', 'tomorrow', 'covid', 'weather', 'going', 'regular', 'thing']","[(0, 0.38105318), (1, 0.020830916), (2, 0.4910232), (3, 0.107092656)]",,
26,"['funding', 'combat', 'learning', 'include', 'summer', 'school', 'school', 'program', 'equipment', 'internet', 'connectivity', 'student', 'assist', 'digital', 'learning', 'university', 'college', 'student']","[(0, 0.133545), (1, 0.012662035), (2, 0.6828908), (3, 0.17090221)]",,
27,"['emergency', 'online', 'learning', 'grade', 'college', 'student', 'digitallearning', 'highered']","[(0, 0.050438095), (1, 0.34536883), (2, 0.35679245), (3, 0.24740061)]",,
28,"['emergency', 'online', 'learning', 'grade', 'college', 'student', 'digitallearning', 'highered']","[(0, 0.050438087), (1, 0.3453795), (2, 0.3567769), (3, 0.24740551)]",,
29,"['chorus', 'teacher', 'make', 'record', 'singing', 'submit', 'grade', 'digital', 'learning']","[(0, 0.26201358), (1, 0.024836048), (2, 0.5854644), (3, 0.12768593)]",,
30,"['school', 'twenty', 'eight', 'frantic', 'student', 'announcement', 'school', 'would', 'close', 'cheering', 'erupt', 'stress', 'teacher', 'compound', 'would', 'transition', 'internet', 'digital', 'learning']","[(0, 0.16613989), (1, 0.015747001), (2, 0.73588276), (3, 0.082230315)]",,
31,"['sadly', 'covid', 'force', 'jersey', 'business', 'accelerator', 'business', 'enable', 'virtual', 'hybrid', 'meeting', 'event', '️#distancelearning', 'digitallearning', 'digitalliving', 'memberbenefits']","[(0, 0.32473433), (1, 0.26830354), (2, 0.24884157), (3, 0.15812054)]",,
32,"['school', 'college', 'across', 'england', 'reopen', 'today', 'people', 'prison', 'coming', 'without', 'education', 'access', 'digital', 'learning', 'continue', 'entirely', 'covid', 'change', 'calling', 'right', 'right']","[(0, 0.35952187), (1, 0.15642096), (2, 0.40307432), (3, 0.08098283)]",,
33,"['argument', 'drive', 'agenda', 'detrimental', 'teacher', 'work', 'school', 'dreadfully', 'unprepared', 'digital', 'learning', 'focus', 'teacher', 'systemic', 'improvement', 'option', 'delivery']","[(0, 0.18922107), (1, 0.01793455), (2, 0.700619), (3, 0.092225395)]",,
34,"['entire', 'generation', 'education', 'interrupt', 'covid19', 'accelerate', 'access', 'internet', 'provide', 'every', 'child', 'necessary', 'learning', 'tool', 'technology', 'critical', 'child', 'learning', 'foreverychild', 'equal', 'access', 'quality', 'digital', 'learning']","[(0, 0.120718345), (1, 0.6233948), (2, 0.19078), (3, 0.065106854)]",,
35,"['accord', 'digihe_eu', 'report', 'highered', 'institution', 'policy', 'services', 'infrastructure', 'digitallearning', 'teaching', 'place', 'enhance', 'beyond', 'covid19', 'crisis', 'eualearnteach']","[(0, 0.050971016), (1, 0.57287574), (2, 0.28389806), (3, 0.09225519)]",,
36,"['difference', 'crisis', 'remote', 'schooling', 'experience', 'covid19', 'school', 'closure', 'onlineeducation', 'learn', 'onlinelearning', 'remotelearning', 'digitallearning', 'education', 'parent', 'teaching']","[(0, 0.039794736), (1, 0.55716026), (2, 0.33085752), (3, 0.07218748)]",,
37,"['learn', 'teacher', 'teach', 'health', 'education', 'digital', 'learning', 'works', 'extremely', 'republican', 'would', 'provide', 'money', 'training', 'initiative', 'properly', 'making', 'outlandish', 'generalization', 'people', 'hurting']","[(0, 0.32685047), (1, 0.18215474), (2, 0.3987691), (3, 0.09222566)]",,
38,"['infographic', 'impact', 'poverty', 'brain', 'learning', 'hard', 'highered', 'elearning', 'digitallearning', 'pobreza', 'poverty', 'brain', 'cerebro', 'desarrollo', 'infancia', 'adolescencia', 'teacher', 'onlinelearning']","[(0, 0.017997252), (1, 0.7354818), (2, 0.2135813), (3, 0.032939628)]",,
39,"['agency', 'launch', 'palestinian', 'digital', 'learning', 'platform', 'covid', 'crisis']","[(0, 0.34635198), (1, 0.35562184), (2, 0.13526809), (3, 0.16275811)]",,
40,"['digital', 'learning', 'devices', 'among', 'grievance', 'protest', 'university', 'student']","[(0, 0.32907343), (1, 0.012663849), (2, 0.27564088), (3, 0.38262185)]",,
41,"['teachertechsummit', 'teacher', 'digital', 'learning', 'revolution', 'school']","[(0, 0.4067366), (1, 0.015750607), (2, 0.49607962), (3, 0.08143321)]",,
42,"['seriously', 'digital', 'learning', 'college', 'student', 'least', 'college', 'student']","[(0, 0.21975227), (1, 0.020828191), (2, 0.6467733), (3, 0.11264624)]",,
43,"['super', 'power', 'disruptive', 'learning', 'communications', 'digitallearning', 'gamification', 'gaming', 'onlinelearning', 'communication', 'edtech', 'university', 'digitaltransformation', 'emergingtechnologies', 'education', 'disruption']","[(0, 0.16604635), (1, 0.46475756), (2, 0.16623427), (3, 0.20296185)]",,
44,"['expert', 'believe', 'digital', 'learning', 'government', 'action', 'critical', 'landmark', 'oxford', 'university', 'press', 'report', 'global', 'education', 'disruption', 'government', 'collaboratively', 'others', 'education']","[(0, 0.18224606), (1, 0.38116816), (2, 0.20550613), (3, 0.23107965)]",,
45,"['struggle', 'operate', 'digital', 'learning', 'tool', 'miss', 'overseas', 'opportunity', 'cambodian', 'student', 'disillusion', 'covid-19', 'pandemic', 'university', 'experience', 'covid19kh']","[(0, 0.21973987), (1, 0.020831631), (2, 0.47507155), (3, 0.28435692)]",,
46,"['school', 'college', 'across', 'england', 'reopen', 'today', 'people', 'prison', 'coming', 'without', 'education', 'access', 'digital', 'learning', 'continue', 'entirely', 'covid', 'change', 'calling', 'right', 'right']","[(0, 0.35951754), (1, 0.15641768), (2, 0.40308195), (3, 0.08098283)]",,
47,"['entire', 'generation', 'education', 'interrupt', 'covid19', 'accelerate', 'access', 'internet', 'provide', 'every', 'child', 'necessary', 'learning', 'tool', 'technology', 'critical', 'child', 'learning', 'foreverychild', 'equal', 'access', 'quality', 'digital', 'learning']","[(0, 0.12071756), (1, 0.6234106), (2, 0.19076495), (3, 0.06510685)]",,
48,"['accord', 'digihe_eu', 'report', 'highered', 'institution', 'policy', 'services', 'infrastructure', 'digitallearning', 'teaching', 'place', 'enhance', 'beyond', 'covid19', 'crisis', 'eualearnteach']","[(0, 0.05097112), (1, 0.5728756), (2, 0.28389806), (3, 0.09225519)]",,
49,"['difference', 'crisis', 'remote', 'schooling', 'experience', 'covid19', 'school', 'closure', 'onlineeducation', 'learn', 'onlinelearning', 'remotelearning', 'digitallearning', 'education', 'parent', 'teaching']","[(0, 0.03979468), (1, 0.55716026), (2, 0.33085752), (3, 0.07218748)]",,
50,"['learn', 'teacher', 'teach', 'health', 'education', 'digital', 'learning', 'works', 'extremely', 'republican', 'would', 'provide', 'money', 'training', 'initiative', 'properly', 'making', 'outlandish', 'generalization', 'people', 'hurting']","[(0, 0.32685056), (1, 0.18215306), (2, 0.39877075), (3, 0.09222566)]",,
51,"['covid', 'change', 'dynamics', 'people', 'going', 'hospital', 'doctor', 'available', 'remote', 'interior', 'place', 'courtyard', 'shelter', 'anganwadi', 'concept', 'handy', 'healthcare', 'delivery', 'report', 'online']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.3960549)]",,
52,"['bullying', 'teacher', 'worst', 'abuse', 'esteem', 'scar', 'rapid', 'delivery', 'remote', 'counseling', 'happy', 'defuse', 'insidious', 'trauma', 'point', 'psyche', 'undermine', 'satisfaction', 'reach', 'today', 'ep@emanuelperdis.com']","[(0, 0.086431116), (1, 0.030729197), (2, 0.48680767), (3, 0.39603198)]",,
53,"['unfortunately', 'difficult', 'teacher', 'provide', 'person', 'remote', 'learning', 'especially', 'expect', 'lesson', 'online', 'teach', 'class', 'impossible', 'primary', 'really', 'interactive', 'style', 'learning', 'delivery', 'input']","[(0, 0.058556512), (1, 0.020835003), (2, 0.6522654), (3, 0.26834306)]",,
54,"['defective', 'device', 'check', 'return', 'replacement', 'device', 'shippd', 'delivery', 'duration', 'customer', 'without', 'earbuds', 'covid', 'remote', 'inconvenient', 'warranty', 'policy']","[(0, 0.56006354), (1, 0.030733697), (2, 0.24972476), (3, 0.159478)]",,
55,"['currently', 'drive', 'rival', 'delivery', 'company', 'since', 'covid19', 'place', 'takeout', 'public', 'limited', 'restroom', 'unlock', 'potty', 'generally', 'watch', 'drink', 'water', 'route', 'savage', 'roads', 'remote']","[(0, 0.16493906), (1, 0.05864369), (2, 0.47477847), (3, 0.3016388)]",,
56,"['transition', 'program', 'person', 'remote', 'delivery', 'covid-19', 'youth', 'autism', 'spectrum', 'disorder', 'disadvantage', 'include', 'space', 'martial', 'generally', 'speaking', 'ushiro', 'miss']","[(0, 0.16493906), (1, 0.05864369), (2, 0.47477847), (3, 0.3016388)]",,
57,"['march', 'university', 'announce', 'would', 'suspend', 'undergraduate', 'class', 'following', 'march', 'announce', 'undergraduate', 'graduate', 'class', 'switching', 'remote', 'delivery', 'march', 'suspend', 'clinical', 'learning', 'healthcare', 'student']","[(0, 0.06981394), (1, 0.024835164), (2, 0.56637526), (3, 0.33897564)]",,
58,"['employer', 'remote', 'worker', 'delivery', 'perk', 'disappear', 'covid', 'force', 'people']","[(0, 0.4257586), (1, 0.040327046), (2, 0.32648796), (3, 0.20742641)]",,
59,"['concern', 'family', 'choose', 'online', 'whose', 'least', 'afford', 'skip', 'spring', 'online', 'really', 'struggle', 'covid', 'struggle', 'online', 'social', 'anxiety', 'little', 'family', 'learning', 'support']","[(0, 0.25827417), (1, 0.014039228), (2, 0.32899925), (3, 0.3986874)]",,
60,"['illaya', 'college', 'class', 'online', 'class', 'online', 'taking', 'anyone', 'encourage', 'learning', 'veda']","[(0, 0.0698139), (1, 0.024844103), (2, 0.39314765), (3, 0.51219434)]",,
61,"['online', 'takut', 'mutasi', 'crona', 'pengen', 'offline']","[(0, 0.08643226), (1, 0.030729208), (2, 0.24879564), (3, 0.6340429)]",,
62,"['grade', 'online', 'going', 'patio', 'stupid', 'found', 'today', 'husband', 'covid', 'positive', 'someone', 'coming', 'workplace', 'mask', 'rampant', 'vaccine', 'book', 'tomorrow']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.39605492)]",,
63,"['richmond', 'shopper', 'oakridges', '13070', 'yonge', 'astrazeneca', 'dose', 'available', 'booking', 'online', 'vaccinate', 'power', 'power', 'covid19', 'covid19vaccine', 'covid19on', 'vhcon']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
64,"['imagin', 'going', 'jannah', 'break', 'heart', 'teacher', 'online', 'class', 'saying']","[(0, 0.08642826), (1, 0.030729162), (2, 0.4867831), (3, 0.3960595)]",,
65,"['funeral', 'probably', 'behind', 'funeral', 'home', 'adapt', 'covid', 'online', 'services', 'future', 'saltwire']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.3960549)]",,
66,"['complete', 'university', 'degree', 'online', 'believe', 'chosen', 'shitter', 'going', 'water', 'semester']","[(0, 0.08642829), (1, 0.030729165), (2, 0.24878432), (3, 0.6340582)]",,
67,"['subha', 'online', 'class', 'sleep', 'cycle', 'tabaah', 'wakfy', 'wakfy', 'ankhon', 'rehta', 'faida', 'teacher']","[(0, 0.08642826), (1, 0.030729162), (2, 0.4867831), (3, 0.3960595)]",,
68,"['differ', 'remote', 'teaching', 'still', 'teaching', 'online', 'instead', 'classroom', 'teacher', 'teach', 'month', 'simply', 'insult', 'teacher', 'state', 'indeed', 'teacher', 'world', 'circumstances']","[(0, 0.044277303), (1, 0.015742369), (2, 0.73707485), (3, 0.20290548)]",,
69,"['insane', 'jersey', 'school', 'teacher', 'suspend', 'profane', 'tirade', 'online', 'class', 'superintendent']","[(0, 0.06981296), (1, 0.024821596), (2, 0.58544487), (3, 0.31992057)]",,
70,"['really', 'online', 'hurt', 'covid', 'vaccine']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.3960549)]",,
71,"['covid-19', 'clinically', 'extremely', 'vulnerable', 'carer', 'allowance', 'vaccination', 'appointment', 'calling', 'going', 'online']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
72,"['finish', 'freshman', 'college', 'umich', 'online', 'alone', 'meeting', 'almost', 'student', 'going', 'singular', 'person', 'class', 'spoke']","[(0, 0.08642874), (1, 0.030729169), (2, 0.446585), (3, 0.4362571)]",,
73,"['emergency', 'alert', 'basically', 'nothing', 'change', 'schooling', 'switching', 'online', 'please', 'firekenney', 'goddamn', 'useless', 'covid19ab']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
74,"['alberta', 'emergency', 'alert', 'online', 'listening', 'radio', 'remind', 'ineffective', 'covid', 'embarrass', 'covid19ab', 'ableg', 'abpoli', 'abgove', 'racetothebottom']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.39605492)]",,
75,"['exactly', 'online', 'education', 'pakistan', 'teacher', 'sarasar', 'nainsafi', 'zyadti']","[(0, 0.069813676), (1, 0.21705414), (2, 0.3932047), (3, 0.31992748)]",,
76,"['cabin', 'school', 'khayaban', 'rawalpindi', 'calling', 'school', 'teacher', 'school', 'daily', 'basis', 'conduct', 'online', 'class', 'school', 'policy', 'notice', 'violation']","[(0, 0.044276915), (1, 0.015742365), (2, 0.7370807), (3, 0.20290007)]",,
77,"['annoying', 'thing', 'covid', 'still', 'knowing', 'place', 'close', 'never', 'right', 'online']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.39605492)]",,
78,"['barely', 'online', 'conspiracy', 'theory', 'covid19vaccine', 'infectious', 'contagious', 'stupid', 'mother', 'fcukery', 'contagious', 'anyways', 'officially', 'starting', 'rolandmartinunfiltered', 'thursday']","[(0, 0.11342287), (1, 0.040327042), (2, 0.32648796), (3, 0.5197621)]",,
79,"['aussie', 'planning', 'years', 'stuff', 'online', 'covid', 'shooting', 'politics', 'terrify', 'mental', 'planning', 'leave', 'island', 'oasis', 'write']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.39605492)]",,
80,"['ask', 'leave', 'hate', 'teacher', 'telling', 'something', 'would', 'thought', 'online', 'school', 'work', 'schedule', 'graduate', 'business']","[(0, 0.06981296), (1, 0.024821596), (2, 0.58544487), (3, 0.31992057)]",,
81,"['nosso', 'curso', 'saúde', 'socialismo', 'imprescindibilidade', 'superação', 'pandemia', 'covid-19', 'brasil', 'formação', 'online', 'gratuita', 'inscrições', 'podem', 'feitas', 'participa', 'desse', 'encontro']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
82,"['three', 'hours', 'waiting', 'online', 'three', 'f*cking', 'hours', 'pathetic', 'massive', 'failure', 'epicfail', 'failure', 'covidfail', 'covidfailure', 'epiccovidfailure']","[(0, 0.08651156), (1, 0.030729385), (2, 0.2488433), (3, 0.6339158)]",,
83,"['bener', 'pengen', 'cepet', 'lulu', 'pokoknya', 'banget', 'kuliah', 'online', 'astaghfirullah', 'masih', 'bulan', 'sambat']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
84,"['covid', 'excuse', 'banks', 'using', 'branch', 'closure', 'bring', 'forward', 'always', 'plan', 'banks', 'branch', 'closure', 'longer', 'decline', 'online', 'shift', 'accelerate', 'local', 'still', 'worry']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.3960549)]",,
85,"['least', 'three', 'class', 'physics', 'government', 'appreciation', 'grade', 'piss', 'covid', 'force', 'online', 'online', 'learner', 'learn', 'better', 'person', 'covid']","[(0, 0.46691185), (1, 0.01792834), (2, 0.14515856), (3, 0.3700013)]",,
86,"['student', 'president', 'virginia', 'commonwealth', 'university', 'history', 'violent', 'extremist', 'racist', 'online', 'post', 'millennial']","[(0, 0.06981322), (1, 0.024821598), (2, 0.33831507), (3, 0.5670501)]",,
87,"['professor', 'parisian', 'business', 'school', 'higher', 'education', 'fire', 'making', 'racist', 'comment', 'conducting', 'class', 'online', 'professor', 'take', 'phone', 'denigrate', 'intelligence', 'black', 'student', 'friend', 'reinforce', 'racist', 'comment']","[(0, 0.05042677), (1, 0.2956305), (2, 0.4090838), (3, 0.24485892)]",,
88,"['consider', 'someone', 'post', 'online', 'selling', 'falsify', 'covid', 'cards', 'moron', 'contact', 'seller', 'along', 'moron', 'round', 'drop', 'countryside', 'mile', 'civilize', 'people', 'dreamland']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.39605492)]",,
89,"['finally', 'finish', 'session', 'today', 'online', 'teaching', 'brutal', 'professor', 'teacher']","[(0, 0.06981381), (1, 0.024821607), (2, 0.5854323), (3, 0.3199323)]",,
90,"['misinformation', 'covid-19', 'vaccine', 'altering', 'people', 'gene', 'continue', 'circulate', 'online', 'claim', 'wrong', 'still', 'wrong']","[(0, 0.12177743), (1, 0.0307293), (2, 0.45126355), (3, 0.3962297)]",,
91,"['thetimes', 'leading', 'front', 'battle', 'defeat', 'coronavirus', 'pandemic']","[(0, 0.1134295), (1, 0.04032712), (2, 0.63879496), (3, 0.20744844)]",,
92,"['reform', 'uzbekistan', 'higher', 'answer', 'depend', 'tashkent', 'state', 'university', 'economics', 'rector', 'kongratboy', 'sharipov', 'argue', 'system', 'modern', 'corrupt', 'tailor', 'student', 'need', 'student', 'online', 'education', 'simply', 'suck']","[(0, 0.04427852), (1, 0.25957596), (2, 0.3226516), (3, 0.3734939)]",,
93,"['covid', 'plandemic', 'pilot', 'project', 'people', 'consent', 'slavery', 'measure', 'right', 'spar', 'pandemic', 'wales', 'online', 'pathetic', 'information', 'outlet', 'normal', 'medical', 'experiment', 'child', 'commonsense']","[(0, 0.2620701), (1, 0.21704847), (2, 0.20095892), (3, 0.31992257)]",,
94,"['kinda', 'thinking', 'ball', 'insane', 'covid', 'event', 'matcherinos', 'online', 'tournament', 'already', 'majors', 'hella', 'build', 'leading', 'concentration']","[(0, 0.32443187), (1, 0.030729162), (2, 0.24878407), (3, 0.3960549)]",,
95,"['plsss', 'covid', 'still', 'ravaging', 'world', 'think', 'school', 'really', 'online', 'teaching', 'would', 'better']","[(0, 0.21982102), (1, 0.020819195), (2, 0.49101576), (3, 0.26834399)]",,
96,"['continue', 'exploitation', 'child', 'body', 'online', 'course', 'confusion', 'location', 'faculty', 'university', 'pennsylvania', 'princeton', 'university', 'traumatize', 'another', 'example', 'longer', 'history', 'experimentation']","[(0, 0.07099083), (1, 0.1569536), (2, 0.26299125), (3, 0.5090643)]",,
97,"['camelot', 'repeatedly', 'steal', 'euromillions', 'jackpot', 'editing', 'online', 'ticket', 'contract', 'killing', 'police', 'nothing', 'making', 'utter', 'mockery', 'ruleoflaw,12/6/15', 'jackpot', 'steal', 'others']","[(0, 0.11342287), (1, 0.040327042), (2, 0.32648796), (3, 0.5197621)]",,
98,"['people', 'criticise', 'insensitive', 'covid', 'crisis', 'space', 'utilise', 'house', 'treat', 'unsold', 'skycrappers', 'hotel', 'train', 'plane', 'unused', 'house', 'legislative', 'hoy', 'meeting', 'online', 'religious', 'place', 'temple', 'mosque', 'church']","[(0, 0.45413515), (1, 0.024956627), (2, 0.2009636), (3, 0.31994462)]",,
99,"['tenth', 'things', 'online', 'would', 'issue', 'police', 'caution', 'harassment', 'years']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
100,"['short', 'horror', 'story', 'revolve', 'around', 'online', 'dating', 'situation', 'small', 'college']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
101,"['beware', 'medicine', 'online', 'social', 'medium', 'fraudsters', 'patient', 'medicine', 'trust', 'source', 'vigilant', 'making', 'payment', 'indiafightscovid19', 'unite2fightcorona', 'cybersecurity']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
102,"['según', 'trascendió', 'conferencia', 'prensa', 'virtual', 'primera', 'evento', 'realiza', 'manera', 'online', 'debido', 'incidencia', 'covid-19', 'embargo', 'ocasión', 'multiplicaron', 'perspectivas', 'creatividad']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
103,"['teacher', 'saying', 'brazil', 'high', 'country', 'worst', 'country', 'come', 'driving', 'accident', 'anxiety', 'thank', 'trauma', 'online']","[(0, 0.08642826), (1, 0.030729162), (2, 0.4867831), (3, 0.3960595)]",,
104,"['please', 'university', 'sargodha', 'online', 'exam', 'affiliate', 'colleges.our', 'semester', 'month', 'duration.uos', 'conduct', 'online', 'exam', 'campus', 'student', 'sleeping', 'case.future', 'thousand', 'student', 'danger']","[(0, 0.05042522), (1, 0.017928302), (2, 0.3450136), (3, 0.58663285)]",,
105,"['coronavirus', 'baden', 'württemberg', 'immer', 'nicht', 'unter', 'kontrolle', 'inzwischen', 'stecken', 'häufig', 'migranten', 'schuld', 'daran', 'soziale', 'ungleichheit', 'gesellschaft']","[(0, 0.1134295), (1, 0.04032712), (2, 0.63879496), (3, 0.20744844)]",,
106,"['online', 'course', 'person', 'course', 'college', 'beyond', 'bullshit']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
107,"['covid-19', 'vaccination', 'record', 'cards', 'online', 'calibri', 'others', 'myriad', 'people', 'myriad', 'selfies', 'calibri', 'host']","[(0, 0.11342288), (1, 0.040327046), (2, 0.326488), (3, 0.5197621)]",,
108,"['chill', 'assignment', 'teacher', 'every', 'online', 'class', 'normally', 'casually', 'cheat', 'comrade', 'class', 'cover', 'feeling']","[(0, 0.08642826), (1, 0.030729162), (2, 0.4867831), (3, 0.3960595)]",,
